Title,Author,Playtime,Male Count,Female Count
クラッシュ・ワルツ,刈馬カオス,60～90分,2,3
そこまで言わんでモリエール,高間響,90～120分,6,5
上手に伝えられなくて,藤田久雄,90～120分,7,5
ただし、ヤクザを除く,高間響,90～120分,4,2
いちゃもん,下川おかし,40～60分,0,5
キタイ,じんのひろあき,90～120分,5,5
飴をあげる,成島秀和／セリザワケイコ,20～40分,1,1
キミへ送る夏,仁田葉月,40～60分,0,10
夜、明ける,仁田葉月,40～60分,1,3
屋上の男,美崎理恵,20～40分,2,1
明日、宇宙人になります,美崎理恵,40～60分,4,1
あの夜のサクラ,中澤日菜子,60～90分,3,1
春昼遊戯,中澤日菜子,60～90分,6,3
主役は江美里OH！,福本ぷう之介,90～120分,13,14
シンクロナイズド・ウォーキング,清水弥生,90～120分,6,8
郷愁の丘ロマントピア,山田百次,90～120分,5,2
ブーツ・オン・ジ・アンダーグラウンド,清水弥生,90～120分,5,2
聖地,松井周,2時間～3時間,99,99
散歩する侵略者,前川知大,90～120分,7,3
太陽,前川知大,90～120分,6,3
蝶の皇軍,富田求,90～120分,13,1
珈琲法要,山田百次,90～120分,2,1
絶交の先,犬養憲子,20～40分,1,2
楽屋から,犬養憲子,20～40分,0,1
トリオ,斎藤栄作,90～120分,1,3
天竺の壁にもたれて眠る,斎藤栄作,90～120分,4,3
いくつもの傷口に唇をおしあてて,じんのひろあき,90～120分,2,3
雨夜の喜劇,遠藤雷太,90～120分,5,4
アトノアナ　とある漫画スタジオの４日間の物語,蔵重智,90～120分,1,6
終わり無ければすべて無し,蔵重智,90～120分,3,4
呼吸する肉塊,初瀬川幸次郎,60～90分,4,3
紛れて誰を言え,髙山さなえ,60～90分,2,5
さようならファーストエイジ,四方田直樹,90～120分,6,5
灰の中から蘇った男と女,髙山さなえ,60～90分,3,3
心のかけら買います,藤田久雄,90～120分,7,5
ホメをスタシす,阿部かずな,90～120分,6,4
BRIDGE × WORD,白鳥雄介,60～90分,5,6
フィルタリング,白鳥雄介,90～120分,6,5
荒れ野,桑原裕子,90～120分,3,3
ただやるだけ,澤田育子,60～90分,4,7
私のイスラム,南慎介,20～40分,3,4
ともちゃんち,おおやかづき,90～120分,2,6
『ハンナのかばん』,いずみ凜,60～90分,2,3
全部コロナのせい！！,川村香奈子,40～60分,2,3
合唱のためのシアターピース・あの日の空の詩,しままなぶ,40～60分,99,99
合唱劇『かなしみはちからに、』～宮沢賢治　未来への手紙,しままなぶ,60～90分,99,99
月暈とメスシリンダ,四方田直樹,90～120分,7,7
道化師の朝の歌,油田晃,60～90分,2,3
賢治エチュード,油田晃,40～60分,1,2
うちやまつり,深津篤史,90～120分,5,8
リュウカデンドロン～サーカステントか幼馴染の赤いスカート～,赤澤ムック,90～120分,8,7
静かな1日,矢内原美邦,60～90分,1,1
繭文～放蕩ノ吊ラレ作家～,赤澤ムック,90～120分,6,5
楽園工場,永高英雄,60～90分,4,3
大津皇子,篠崎隆雄,2時間～3時間,99,12
ジャッピーは、春風にのって,篠崎隆雄,90～120分,10,8
ワスレノコリ,三枝希望,60～90分,0,7
ひたむきな星屑,柳生二千翔,60～90分,4,4
幸福な夢,いしざわみな,40～60分,2,2
oasis,小原延之,90～120分,4,4
うさぎひとり,おおにしのぶこ,60～90分,1,5
昇龍伝説,岡安伸治,90～120分,1,6
海獣日和,長谷川彩,20～40分,1,1
下校の時間,長谷川彩,20～40分,1,1
花ぐもり,鈴木麻名実,60～90分,0,2
花と魚,柳井祥緒,90～120分,7,4
あしたのこと,工藤舞,20～40分,2,0
ミュージカル「普通にブランド品とか好きだった私が、カンボジアで孤児院のお母さんになった。 〜くっくま孤児院　柊梨紗の物語」,まきりか,90～120分,3,2
わたしのエプロン,千木良悠子,60～90分,0,0
ルーツ,松井周,90～120分,8,7
葬送の教室,詩森ろば,90～120分,8,2
love call vol.1,伴一彦,60～90分,6,7
三英花 煙夕空,堀越涼,60～90分,2,1
机上の空襲,天野順一朗,90～120分,5,3
赤ペン先輩,尾崎太祐,20～40分,1,1
地底妖精,市原佐都子,90～120分,1,1
竹林の人々,丸尾丸一郎,90～120分,5,3
頭の中の千匹の蜂,大和屋かほる,90～120分,3,4
プラヌラ,髙石紗和子,90～120分,4,6
ちょっとしたキセキ,中村敏子,60～90分,2,2
「ムイカ」再び　西へ東へ,はしぐちしん,60～90分,0,4
ゆれる車の音　～九州テキ屋旅日記～,中島淳彦,90～120分,6,5
『ヨブ呼んでるよ』,西尾佳織,60～90分,3,2
「なにをシェアするハウスター」,保科由里子,60～90分,3,5
それでも好き,アシタリュウタロウ,20～40分,1,1
山の声,大竹野正典,90～120分,2,0
きつねものがたり,小野小町,40～60分,0,4
よみちにひはくれない,菅原直樹,90～120分,3,5
あたらしい生活シアター,菅原直樹,90～120分,5,11
春母夏母秋母冬母,糸井幸之介,90～120分,1,1
ひびきの石,日下部信,90～120分,9,5
崖っぷちのピイプル,青木由里,2時間～3時間,5,6
愛死に,糸井幸之介,90～120分,7,7
エレベーター,黒羽英二,40～60分,3,0
朗読キネマ『潮騒の祈り』,高橋郁子,60～90分,0,3
天気予報,梅咲ミヤビ,20～40分,5,0
ハロー、ランデブー,ベロ・シモンズ,20～40分,1,0
演劇計画Ⅱ−戯曲創作−『新・内山』,柳沼昭徳,2時間～3時間,11,14
やまんば,大塚恵美子,90～120分,0,6
短編「怪火」「仇野の露」,柳沼昭徳,40～60分,2,2
老いとAI,新井章仁,20～40分,2,0
変奏・バベットの晩餐会,高見亮子,90～120分,1,10
かいだん,文月奈緒子,20～40分,1,1
